CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE,OBJECT_INSTANCE
2023-11-01 12:16:29.320000-08:00,2023-11-01 12:16:29.320000-08:00,OWNERSHIP,FILE FORMAT,MY_CSV_FORMAT,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:20:05.945000-08:00,2023-11-01 12:20:05.945000-08:00,OWNERSHIP,PROCEDURE,SIMPLE_EXAMPLE():VARCHAR(16777216),GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:22:57.409000-08:00,2023-11-01 12:22:57.409000-08:00,OWNERSHIP,SEQUENCE,SEQ1,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-01 12:24:01.204000-08:00,2023-11-01 12:24:01.204000-08:00,OWNERSHIP,STREAM,DATA_CHECK,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-02 11:40:22.709000-08:00,2023-11-02 11:40:22.709000-08:00,OWNERSHIP,ROLE,GARDEN_PLANTS,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-02 11:47:13.389000-08:00,2023-11-02 11:47:13.389000-08:00,USAGE,DATABASE,SNOWFLAKE,SNOWFLAKE,,ROLE,GARDEN_PLANTS,False,,,,
2023-11-02 11:48:50.069000-08:00,2023-11-02 11:48:50.069000-08:00,USAGE,WAREHOUSE,COMPUTE_WH,,,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-02 11:50:01.005000-08:00,2023-11-02 11:50:01.005000-08:00,OWNERSHIP,USER,TEST,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-02 11:41:29.458000-08:00,2023-11-02 12:13:22.895000-08:00,USAGE,DATABASE,GARDEN_PLANTS,GARDEN_PLANTS,,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,2023-11-02 12:13:22.895000-08:00,ROLE,
2023-11-02 11:42:11.880000-08:00,2023-11-02 12:13:37.894000-08:00,USAGE,SCHEMA,VEGGIES,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,2023-11-02 12:13:37.894000-08:00,ROLE,
2023-11-02 12:23:00.284000-08:00,2023-11-02 12:23:00.284000-08:00,USAGE,DATABASE,GARDEN_PLANTS,GARDEN_PLANTS,,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-02 12:29:10.115000-08:00,2023-11-02 12:29:10.115000-08:00,USAGE,SCHEMA,VEGGIES,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-02 12:41:58.849000-08:00,2023-11-02 12:41:58.849000-08:00,SELECT,TABLE,LU_SOIL_TYPE,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-02 12:43:17.487000-08:00,2023-11-02 12:43:17.487000-08:00,USAGE,FILE FORMAT,MY_CSV_FORMAT,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-02 12:47:04.738000-08:00,2023-11-02 12:47:04.738000-08:00,SELECT,TABLE,MY_EVENTS,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:15:40.735000-08:00,2023-11-03 07:15:40.735000-08:00,OWNERSHIP,DATABASE,HOMEBOY_MISTAKES,HOMEBOY_MISTAKES,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-03 07:15:40.759000-08:00,2023-11-03 07:15:40.759000-08:00,OWNERSHIP,SCHEMA,PUBLIC,HOMEBOY_MISTAKES,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-03 07:16:33.170000-08:00,2023-11-03 07:16:33.170000-08:00,OWNERSHIP,ROLE,HOMEBOY,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-11-03 07:16:33.885000-08:00,2023-11-03 07:16:33.885000-08:00,USAGE,ROLE,HOMEBOY,,,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:18:41.367000-08:00,2023-11-03 07:18:41.367000-08:00,USAGE,DATABASE,HOMEBOY_MISTAKES,HOMEBOY_MISTAKES,,ROLE,HOMEBOY,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:27:42.712000-08:00,2023-11-03 07:27:42.712000-08:00,SELECT,TABLE,NAMES,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:27:50.649000-08:00,2023-11-03 07:27:50.649000-08:00,SELECT,TABLE,POTATOES,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:27:57.596000-08:00,2023-11-03 07:27:57.596000-08:00,SELECT,TABLE,RAW,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:28:05.701000-08:00,2023-11-03 07:28:05.701000-08:00,SELECT,TABLE,ROOT_DEPTH,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:28:13.863000-08:00,2023-11-03 07:28:13.863000-08:00,SELECT,TABLE,TABLE1,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:28:21.621000-08:00,2023-11-03 07:28:21.621000-08:00,SELECT,TABLE,TABLE2,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:28:28.907000-08:00,2023-11-03 07:28:28.907000-08:00,SELECT,TABLE,TABLE3,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:28:41.476000-08:00,2023-11-03 07:28:41.476000-08:00,SELECT,TABLE,TABLE4,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:28:51.455000-08:00,2023-11-03 07:28:51.455000-08:00,SELECT,TABLE,TABLE5,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:28:58.188000-08:00,2023-11-03 07:28:58.188000-08:00,SELECT,TABLE,VEGETABLES,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:29:05.043000-08:00,2023-11-03 07:29:05.043000-08:00,SELECT,TABLE,VEGETABLE_DETAILS,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:29:13.695000-08:00,2023-11-03 07:29:13.695000-08:00,SELECT,TABLE,VEGETABLE_DETAILS_PLANT_HEIGHT,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:29:22.720000-08:00,2023-11-03 07:29:22.720000-08:00,SELECT,TABLE,VEGETABLE_DETAILS_SOIL_TYPE,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:29:45.491000-08:00,2023-11-03 07:29:45.491000-08:00,SELECT,VIEW,POTATOES_V,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:29:56.382000-08:00,2023-11-03 07:29:56.382000-08:00,USAGE,SEQUENCE,SEQ1,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:30:05.196000-08:00,2023-11-03 07:30:05.196000-08:00,SELECT,STREAM,DATA_CHECK,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:30:38.108000-08:00,2023-11-03 07:30:38.108000-08:00,MONITOR,TASK,RAW_TO_NAMES,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
2023-11-03 07:31:25.496000-08:00,2023-11-03 07:31:25.496000-08:00,SELECT,TABLE,VISITORS_DT,GARDEN_PLANTS,VEGGIES,ROLE,GARDEN_PLANTS,False,ACCOUNTADMIN,,ROLE,
